cls1,cls2,cls3,cls4,cls5,cls6,cls7,cls8,cls9,cls10,cls11,cls12,cls13,cls14,cls15,cls16,cls17,cls18,cls19,cls20
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1323.533093,1370.561065,1304.827821,1123.674548,1449.244358,1257.728921,1372.490764,1220.955175,1198.921941,1463.419043,1323.533093,1370.561065,1304.827821,1123.674548,1449.244358,1257.728921,1372.490764,1220.955175,1198.921941,1463.419043
1522.340145,1714.439475,1632.693583,1662.983915,1687.668536,1787.45912,1792.419402,1645.954604,1675.317589,1801.06546,1522.340145,1714.439475,1632.693583,1662.983915,1687.668536,1787.45912,1792.419402,1645.954604,1675.317589,1801.06546
1785.959759,1765.869206,1718.013752,1715.718401,1833.057591,1803.355321,1893.734722,1943.806289,1945.299303,1911.031384,1785.959759,1765.869206,1718.013752,1715.718401,1833.057591,1803.355321,1893.734722,1943.806289,1945.299303,1911.031384
2482.235631,2447.213333,2570.777819,2491.610399,2510.872257,2491.05997,2375.972258,2357.552225,2737.889325,2555.754656,2482.235631,2447.213333,2570.777819,2491.610399,2510.872257,2491.05997,2375.972258,2357.552225,2737.889325,2555.754656
2763.550667,2780.294506,2423.476392,2566.761729,2676.147104,2641.378203,2568.133733,2652.126333,2640.682133,2619.165884,2763.550667,2780.294506,2423.476392,2566.761729,2676.147104,2641.378203,2568.133733,2652.126333,2640.682133,2619.165884
2420.009533,2267.08238,2523.86181,2561.012876,2557.206306,2576.51257,2495.067693,2564.713135,2612.694425,2561.781929,2420.009533,2267.08238,2523.86181,2561.012876,2557.206306,2576.51257,2495.067693,2564.713135,2612.694425,2561.781929
2346.199853,2675.394361,2438.80113,2609.716835,2437.777931,2417.821479,2455.323782,2562.959142,2456.994843,2569.056481,2346.199853,2675.394361,2438.80113,2609.716835,2437.777931,2417.821479,2455.323782,2562.959142,2456.994843,2569.056481
2636.94498,2797.353731,2631.819069,2815.702725,2835.431632,2757.531697,2784.799184,2861.994211,2679.439169,2937.507134,2636.94498,2797.353731,2631.819069,2815.702725,2835.431632,2757.531697,2784.799184,2861.994211,2679.439169,2937.507134
3306.766126,3269.558997,3242.710779,3085.79005,3136.937615,3399.566159,3394.338765,3367.335797,3275.433534,3194.419808,3306.766126,3269.558997,3242.710779,3085.79005,3136.937615,3399.566159,3394.338765,3367.335797,3275.433534,3194.419808
